startdate,enddate,wfo,far,pod,far_pct,pod_pct,lgt,mod,hvy,lgt_pct,mod_pct,hvy_pct
2/2/2023 13:00,2/3/2023 21:00,mqt,57,72,44.186,55.814,80,15,1,83.333,15.625,1.042
2/2/2023 10:19,2/2/2023 15:00,mqt,7,15,31.818,68.182,2,10,5,11.765,58.824,29.412
1/19/2023 9:00,1/20/2023 2:50,mqt,22,31,41.509,58.491,36,8,9,67.925,15.094,16.981
1/19/2023 12:00,1/20/2023 2:50,mqt,1,15,6.25,93.75,10,2,4,62.5,12.5,25
11/17/2022 21:00,11/19/2022 0:00,iwx,63,76,45.324,54.676,56,2,0,96.552,3.448,0
11/17/2022 21:00,11/19/2022 5:00,iwx,17,160,9.605,90.395,131,38,8,74.011,21.469,4.52
3/17/2023 21:00,3/19/2023 9:48,apx,22,250,8.088,91.912,114,32,16,70.37,19.753,9.877
3/17/2023 21:00,3/19/2023 2:58,apx,83,178,31.801,68.199,90,0,0,100,0,0
3/17/2023 21:00,3/19/2023 9:48,apx,111,293,27.475,72.525,71,4,0,94.667,5.333,0
2/2/2023 18:23,2/3/2023 8:59,apx,5,52,8.772,91.228,40,12,5,70.175,21.053,8.772
2/2/2023 18:23,2/3/2023 18:00,apx,15,51,22.727,77.273,52,14,0,78.788,21.212,0
2/2/2023 18:23,2/3/2023 8:59,apx,33,75,30.556,69.444,64,0,0,100,0,0
2/2/2023 20:47,2/3/2023 18:00,apx,19,177,9.694,90.306,36,14,8,62.069,24.138,13.793
2/2/2023 18:23,2/2/2023 20:47,apx,0,3,0,100,2,1,0,66.667,33.333,0
12/16/2022 19:28,12/17/2022 7:58,apx,6,32,15.789,84.211,38,0,0,100,0,0
12/16/2022 18:11,12/17/2022 17:00,apx,14,55,20.29,79.71,68,1,0,98.551,1.449,0
12/17/2022 17:00,12/18/2022 0:00,apx,14,61,18.667,81.333,21,0,0,100,0,0
12/16/2022 12:00,12/17/2022 19:51,apx,34,176,16.19,83.81,92,3,0,96.842,3.158,0
11/19/2022 18:00,11/20/2022 8:21,apx,63,54,53.846,46.154,41,1,1,95.349,2.326,2.326
11/18/2022 22:00,11/19/2022 18:00,apx,28,234,10.687,89.313,46,12,2,76.667,20,3.333
11/20/2022 12:00,11/20/2022 16:16,grr,36,9,80,20,6,0,0,100,0,0
11/20/2022 8:35,11/20/2022 12:00,grr,53,31,63.095,36.905,4,0,0,100,0,0
11/17/2022 0:00,11/20/2022 8:35,grr,749,1954,27.71,72.29,185,14,9,88.942,6.731,4.327
12/25/2022 6:00,12/25/2022 9:49,mqt,6,25,19.355,80.645,11,0,0,100,0,0
12/23/2022 6:00,12/25/2022 0:00,mqt,109,508,17.666,82.334,91,33,2,72.222,26.19,1.587
12/25/2022,12/25/2022 6:00,mqt,18,57,24,76,17,1,0,94.444,5.556,0
